review
Pokoknya mantap deh
Good
Bertahan lama bgt gak mau update kesini. Akhirnya dipaksa pindah kesini. Gak taunya makin parah. Parah bgt. Jelek bgt ni aplikasi nya. Br ini kecewa sm mandiri. IT nya gak bener ini. Transaksi makin sulit. Makin sering eror. Payah. Cari IT baru dong. Ulasan ke 2 nih. 1bulan ini super parah. Gak bs2 login. Mental2 terus. Ini gimana sih.
Kenapa gak bisa d buka aplikasi Livin nya..tiba2 aja..kenapa sih..mau akhir tahun kenapa selalu error' ada masalah..
Terbaik💥💥
cukup baik👍
Transaksi semudah menjetikan jari.
TOLONG JANGAN TERLALU SERING UPDATE YAAAAH!!!!!!!!!!!
Mudah menggunakan aplikasi ini dan informasi sangat lengkap
Susah transaksi
